category,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年
調味料,29599,28665,28560,28717,28539,28177,27874,28205,29306,29571,29100,29569,29316,29167,29673,30263,30658,31043,31249,30869,33516,32705,32337,33201
菓子類,66564,66262,65790,65476,64201,63890,64088,64873,67083,67818,66412,65335,65843,67168,68253,69775,69823,69634,70313,72388,70153,72309,76899,81111
調理食品,90888,91169,90541,91079,90474,90825,91374,91471,90334,89384,90465,92371,94246,94475,97511,101668,106228,107686,110104,112801,116634,122327,126716,130749
主食的調理食品,38607,38961,39324,39108,39437,39654,39907,40169,40537,39544,40006,41037,41508,41679,43039,45360,47204,47499,48031,49726,51291,53637,56140,57772
他の調理食品,52281,52209,51217,51971,51036,51171,51468,51301,49796,49839,50459,51334,52738,52796,54472,56308,59025,60186,62073,63074,65343,68690,70576,72977
飲料,43033,42736,43047,42156,43508,43570,43229,44395,42833,43096,43924,44748,44989,45507,45269,46590,48213,48025,49607,51472,52491,52683,53912,56143
茶類,12292,12322,12434,12294,12508,12529,12067,12427,11994,11768,11649,11602,11281,11543,11343,11358,11830,11667,12241,12414,12318,11947,11702,12190
コーヒー・ココア,8538,8415,8559,8442,8196,8279,8645,8694,8762,9190,9142,9067,9058,9347,9778,10640,10664,10269,10548,10743,10981,11154,11317,11540
他の飲料,22203,21999,22055,21419,22804,22763,22517,23274,22078,22138,23134,24078,24650,24616,24148,24591,25719,26090,26818,28315,29192,29582,30893,32413
酒類,43997,42181,41978,40326,40045,39555,37933,39358,39340,37955,38046,36577,35968,36086,36845,36261,36230,35896,34430,35366,38400,39077,38419,37313
外食,188496,180699,183588,171908,177073,172916,166036,170161,172092,162557,160024,157673,158675,164140,165020,169165,164541,163868,163752,169369,121060,117765,136389,161468
一般外食,178706,171216,174546,163427,168236,164671,157720,161512,163981,153940,151538,149489,150724,156638,157578,162014,157730,157157,156983,162606,115321,111226,130264,156113
学校給食,9790,9482,9042,8481,8836,8245,8316,8649,8112,8616,8486,8184,7951,7502,7442,7152,6811,6710,6768,6763,5739,6539,6124,5356
賄い費,977,1849,1312,1003,619,408,946,1093,1086,960,501,710,1456,806,546,733,344,654,255,517,526,526,335,280
住居,262339,256995,253329,255114,248267,245590,234411,231548,227240,220875,228180,235549,227704,232297,229046,224351,213675,214880,225599,220366,223441,236087,244101,241823
家賃地代,169784,164040,161764,165058,164187,158680,157494,150544,150343,149226,146404,151305,139957,136196,138496,134487,131376,125447,132553,130234,135742,144153,148957,147893
設備修繕・維持,92555,92954,91565,90056,84080,86910,76918,81004,76897,71650,81776,84243,87747,96101,90549,89864,82299,89433,93045,90132,87699,91934,95144,93930
設備材料,19894,17418,23410,25400,24491,26628,26280,25947,24085,21748,24202,28549,27328,28763,27016,25975,26744,25541,27919,26616,27481,30322,31139,32017
工事その他のサービス,72661,75536,68155,64657,59589,60282,50637,55057,52812,49901,57575,55694,60419,67337,63533,63888,55554,63892,65126,63516,60219,61612,64005,61913
光熱・水道,220755,218837,214823,213821,214936,219492,226893,222260,233039,221227,223631,224534,233154,237995,241578,234702,214873,218711,224137,221820,219678,215278,244798,238408
電気代,99045,95885,95353,93360,95495,94691,96667,94947,100641,98527,101048,98260,104370,109415,113663,112036,102710,104499,109810,109203,107688,103274,126707,122664
ガス代,61275,61087,59292,60270,58188,58119,60393,59289,62787,60108,57486,57509,59433,58807,59670,58956,51430,50265,50589,50815,49631,48789,54559,54326
他の光熱,12848,14119,11855,12069,11737,16767,19873,17712,19648,13379,15403,18741,19343,18911,18238,12927,10334,13335,14167,13102,12182,11716,14441,12847
上下水道料,47587,47747,48323,48121,49515,49915,49959,50311,49964,49213,49694,50024,50007,50861,50007,50784,50398,50612,49571,48700,50177,51498,49092,48571
家具・家事用品,117903,119175,110576,108955,104982,105543,101453,103383,103805,105553,105408,105456,105995,108259,109586,105244,107497,108192,108434,115212,121911,118558,119283,120050
家庭用耐久財,36453,40819,34639,33585,32751,34079,32428,32271,32638,34005,36399,33337,33739,36606,36146,33377,35035,35469,35797,40072,40059,38523,40213,40612
家事用耐久財,17978,19121,16744,16605,17460,17949,17692,17757,17385,18426,18950,17316,16310,18091,18767,17118,16679,18424,18261,20997,20747,20623,20707,21584
冷暖房用器具,11050,12948,10874,9670,9095,9990,9015,8913,10049,9973,12952,11102,11976,13288,11825,11478,13326,11686,12887,13305,13696,13425,14379,14113
一般家具,7425,8750,7020,7310,6197,6140,5721,5602,5203,5606,4497,4919,5453,5228,5554,4781,5030,5360,4650,5771,5615,4475,5127,4915
室内装備・装飾品,12636,11746,11868,12522,10240,10594,8848,9345,8955,8836,7352,8214,9146,8549,8469,8047,7847,7754,6529,6671,6437,6895,7507,6981
