category,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年
教養娯楽用耐久財,41418,38531,37057,33851,34582,36908,34759,38663,38009,43645,53295,33343,20097,20344,22836,17689,18208,18833,17971,20646,25364,26532,23227,22352
教養娯楽用品,82869,80816,77971,75287,75019,74015,72585,74891,75270,74628,71471,69616,69720,70223,70280,70480,71594,71144,71224,72804,71893,74018,73376,76266
書籍・他の印刷物,52084,50687,53615,51705,52591,51813,48740,48846,48939,47292,46214,45411,44339,43364,42646,40795,40281,39303,37013,36708,35711,35573,33759,33778
教養娯楽サービス,202848,196549,191117,186286,198198,192257,188136,194262,195239,190875,187943,182503,186442,192256,191656,186514,187466,183254,185673,192479,128744,134574,162389,178943
宿泊料,20666,18532,19372,18700,19007,18276,18121,19220,19997,17499,17608,17667,17020,18803,20260,21679,21056,20100,20747,22008,10856,12197,19996,24325
パック旅行費,61399,56901,52247,48680,54959,51193,52251,50909,52092,45891,46226,41967,44067,46844,44771,41749,41379,37860,37752,40295,10085,6681,16084,23996
月謝類,36091,36352,34445,34170,35283,32848,30520,33061,31040,31255,30967,29686,30256,29193,28960,29495,29059,28115,27777,28286,21566,23063,24785,24991
他の教養娯楽サービス,84692,84765,85052,84735,88949,89940,87245,91071,92110,96230,93142,93183,95100,97415,97665,93591,95972,97178,99398,101890,86237,92633,101524,105633
その他の消費支出,711756,688577,677384,660290,661849,662428,623625,636543,619193,585210,579201,568275,553067,555523,539059,521981,509241,520931,503207,515134,472321,472615,483291,457464
諸雑費,215567,214805,224430,222392,232434,236111,229013,242623,246323,239803,241632,241954,241663,249305,254768,244371,246516,248638,245309,252779,245185,249733,260619,256683
理美容サービス,36158,35807,34374,33869,34742,33714,34069,33802,34119,33268,32629,32993,33138,33115,33938,33914,33861,33552,32683,34128,31330,33066,33973,38063
理美容用品,39291,38304,40258,39894,41221,41353,39743,40894,42354,42103,43385,43645,44154,44773,43816,44041,44649,45726,45175,48744,47693,47657,47340,49590
身の回り用品,25741,25120,25818,24001,23503,23286,22821,24200,23188,21458,20480,19111,19930,21911,22040,21112,19725,21610,18386,20592,17734,17396,18852,18448
たばこ,16890,16029,15257,15434,14216,14750,14343,14629,14281,13744,14188,14658,15723,14371,14004,13812,14465,13039,13783,13932,15181,15747,15894,15133
他の諸雑費,97486,99544,108723,109194,118753,123008,118037,129099,132381,129231,130950,131547,128719,135135,140969,131492,133816,134710,135282,135382,133247,135869,144561,135449
こづかい(使途不明),190758,176552,165425,158700,152892,148014,138119,131215,126921,114332,109931,104528,96097,93355,86441,80543,74575,73141,71914,74495,63643,54942,51068,44700
交際費,205891,202298,200223,194931,195001,199195,178770,189608,177871,169680,163117,162383,159686,155277,145026,138394,131830,132866,131220,132158,113877,111195,114166,110469
贈与金,163700,161288,158813,151095,150044,156341,139883,147529,138325,129748,123276,125463,121636,121062,113095,107940,102034,102884,94995,93462,74794,70704,78047,74719
